time,target,true_x,true_z,meas_x,meas_z,ekf_x,ekf_z
15.168,TARGET_1,-0.123796,-0.124049,-0.143414,-0.111922,-0.13944211482944519,-0.11290560901003013
15.232,TARGET_1,-0.121787,-0.122463,-0.103106,-0.133883,-0.11062829484813194,-0.12848169376887889
15.296,TARGET_1,-0.119777,-0.120877,-0.123327,-0.108703,-0.11980266671842557,-0.11301110704636645
15.36,TARGET_1,-0.117768,-0.119291,-0.119024,-0.101905,-0.1185031772328272,-0.1040971990908336
15.424,TARGET_1,-0.115759,-0.117704,-0.121021,-0.10108,-0.11989877168619054,-0.10146284431336179
15.488,TARGET_1,-0.113749,-0.116118,-0.099663,-0.119941,-0.10362906656323036,-0.11521510594182008
15.552,TARGET_1,-0.11174,-0.114532,-0.100258,-0.126989,-0.10051362003775793,-0.12400125179572509
15.616,TARGET_1,-0.109731,-0.112945,-0.114075,-0.127548,-0.11093985985251667,-0.1267376285128536
15.68,TARGET_1,-0.107722,-0.111359,-0.088622,-0.107893,-0.09273876786790362,-0.11177982055356693
15.744,TARGET_1,-0.105712,-0.109773,-0.100995,-0.090244,-0.09827614199499116,-0.0948308712603733
15.808,TARGET_1,-0.103703,-0.108187,-0.097992,-0.127382,-0.09790132903362943,-0.11977819458816573
15.872,TARGET_1,-0.101694,-0.1066,-0.106808,-0.125592,-0.1048982231129194,-0.12431928025274173
15.936,TARGET_1,-0.099684,-0.105014,-0.080002,-0.12476,-0.08507132046216515,-0.12430913314659826
16.0,TARGET_1,-0.097675,-0.103428,-0.078521,-0.084288,-0.07874189922038469,-0.09303489039771765
16.064,TARGET_1,-0.095666,-0.101841,-0.07652,-0.083647,-0.07588635471365823,-0.08518965064260899
